1,Projeto A,Desenvolvimento de um aplicativo móvel,2024-02-01,2024-07-31,True
2,Projeto B,Implementação de um sistema de gerenciamento de estoque,2024-03-15,2024-10-15,False
3,Projeto C,Design e lançamento de um novo site,2024-04-10,2024-09-30,False
4,Projeto D,Atualização do sistema de pagamento online,2024-02-28,2024-05-31,True
5,Projeto E,Desenvolvimento de um jogo educacional,2024-03-01,2024-08-31,False
6,Projeto F,Expansão da infraestrutura de rede da empresa,2024-04-15,2024-11-30,False
7,Projeto G,Implementação de um programa de treinamento para funcionários,2024-05-01,2024-10-31,False
8,Projeto H,Desenvolvimento de um sistema de CRM personalizado,2024-03-10,2024-09-15,True
9,Projeto I,Reformulação da estratégia de marketing digital,2024-04-05,2024-11-30,False
10,Projeto J,Integração de um novo sistema de contabilidade,2024-02-15,2024-06-30,True
